DominantCycle,DominantCycleAmplitude
0.955476,18.7411
0.955476,19.4342
0.955476,19.7939
0.955476,20.3535
0.955476,21.1247
0.955476,21.0717
0.955476,20.3061
0.955476,20.0493
0.955476,20.268
0.955476,20.464
0.955476,20.2369
0.955476,20.067
0.955476,20.1725
0.955476,20.395
0.955476,20.9242
0.955476,21.5708
0.955476,21.8846
0.955476,21.7978
0.955476,21.5999
0.955476,20.8826
0.955476,20.3798
0.955476,20.6878
0.955476,20.9772
0.955476,21.1232
0.955476,20.7796
0.955476,20.1466
0.955476,20.3113
0.88914,20.8203
0.955476,20.3921
0.955476,19.7951
0.955476,19.9084
0.955476,20.5162
0.955476,21.0427
0.955476,21.1139
0.955476,21.2312
0.955476,21.5858
0.955476,21.4576
0.955476,21.1782
0.955476,21.9884
0.955476,23.1428
0.955476,23.1914
0.955476,22.4589
0.955476,21.9066
0.955476,21.8029
0.955476,22.2445
0.955476,22.6017
0.955476,22.9266
0.955476,23.0806
0.955476,22.5467
0.955476,22.4074
0.955476,22.6073
0.955476,21.9249
1.02676,20.9983
1.02676,20.8194
1.02676,20.689
1.02676,20.7057
1.02676,21.2232
1.02676,21.6163
1.02676,21.6695
1.02676,21.2955
1.02676,20.8441
0.955476,21.066
0.955476,21.8988
0.955476,22.2433
0.955476,21.9848
0.955476,21.6433
0.955476,21.6497
0.955476,21.6731
0.955476,20.7304
0.955476,20.5226
0.955476,21.1158
0.955476,21.4317
0.955476,21.6617
0.955476,21.5828
0.88914,19.9754
0.88914,18.3643
0.955476,19.465
0.955476,20.7099
0.955476,20.3694
1.02676,19.7735
0.955476,20.0929
0.955476,20.5933
0.955476,20.2566
0.88914,20.7686
0.88914,20.7187
0.88914,19.9774
0.88914,19.7136
0.88914,19.6253
0.88914,19.6775
0.88914,19.3533
0.88914,18.9288
0.88914,18.9256
0.955476,18.9052
0.955476,18.2459
0.88914,18.4575
0.88914,18.8454
0.88914,18.1084
0.88914,17.1861
0.88914,17.1428
0.88914,17.6555
0.88914,18.0972
0.88914,18.0467
0.88914,18.0448
0.88914,18.4778
0.88914,19.0513
0.88914,19.9058
0.88914,20.4623
0.88914,20.004
0.88914,19.4556
0.88914,19.5731
0.88914,19.7803
0.88914,19.538
0.955476,19.5464
0.955476,19.8676
0.955476,20.5765
0.955476,21.4159
0.955476,21.7522
0.955476,21.6901
0.955476,21.8731
0.955476,21.7452
0.955476,21.5424
0.955476,21.9242
0.955476,22.5189
0.955476,22.8417
0.955476,22.0161
0.955476,21.0991
0.955476,21.1391
0.955476,21.1651
0.955476,20.794
0.955476,21.0589
0.955476,21.6124
0.955476,21.3378
0.955476,20.7304
0.955476,20.1718
0.88914,20.1593
0.88914,20.1071
0.88914,19.7745
0.88914,19.3777
0.88914,19.3704
0.88914,19.6835
0.88914,20.3754
0.88914,20.5613
0.88914,20.4098
0.88914,20.1843
0.88914,19.5128
0.88914,19.0514
0.88914,18.9634
0.88914,19.7001
0.88914,20.3169
0.88914,19.9454
0.88914,20.0414
0.88914,20.8169
0.88914,21.0014
0.88914,20.1956
0.955476,19.9538
0.955476,21.8859
0.955476,23.6777
0.955476,23.5373
0.955476,21.8596
0.955476,20.5668
0.955476,21.4542
0.955476,22.2534
0.955476,21.3207
0.955476,20.9344
0.955476,21.2371
0.955476,21.3405
0.955476,21.3843
0.955476,21.5524
0.955476,21.3528
0.955476,21.1774
0.955476,21.4976
0.955476,20.9306
0.88914,20.1123
0.88914,20.4734
0.955476,20.2771
0.955476,20.2926
0.955476,20.5538
0.955476,20.6859
0.955476,21.0228
0.955476,21.7124
0.955476,21.8135
0.955476,21.0534
0.88914,20.4365
0.88914,20.6188
0.955476,20.5453
0.955476,20.3386
0.955476,20.1553
0.955476,20.2932
0.88914,20.4253
0.88914,20.7192
0.88914,20.9261
0.88914,21.3804
0.88914,21.6054
0.88914,20.9292
0.88914,20.2088
0.88914,19.7038
0.88914,19.9117
0.88914,20.097
0.955476,20.0433
0.955476,19.9693
0.955476,19.5069
0.955476,19.0546
0.955476,18.6147
0.955476,18.7555
0.955476,19.1487
0.88914,18.8702
0.955476,18.5196
0.955476,19.1129
0.955476,20.0417
0.955476,20.9175
1.02676,21.8601
1.02676,21.0922
0.955476,20.2769
0.955476,20.9891
0.955476,20.1507
0.955476,19.0188
0.955476,19.3537
0.955476,20.0804
0.955476,20.4263
0.955476,20.7965
0.955476,21.3129
0.955476,21.5827
0.955476,21.8131
0.955476,21.5336
1.02676,21.0976
0.955476,21.7185
0.955476,23.6803
0.955476,25.382
0.955476,25.6431
0.955476,23.8672
0.955476,21.652
0.955476,20.3372
0.955476,19.2437
0.88914,18.7658
0.88914,18.9013
0.88914,18.6504
0.88914,18.5662
0.88914,19.0442
0.88914,19.2341
0.88914,19.0937
0.88914,19.0024
0.88914,19.1316
0.88914,19.8034
0.88914,19.8047
0.88914,19.3965
0.88914,19.5048
0.88914,19.588
0.88914,19.6174
0.88914,20.1033
0.88914,20.9636
0.88914,21.0961
0.88914,20.9871
0.88914,21.2748
0.88914,21.1091
0.88914,20.5591
0.88914,20.6122
0.88914,21.1729
0.955476,21.9459
0.955476,21.8869
0.955476,21.3153
0.955476,20.7924
0.955476,20.2285
0.955476,20.1838
0.955476,20.7806
0.955476,21.1448
0.955476,20.011
0.88914,18.3369
0.88914,18.8906
0.88914,20.3803
0.955476,21.2996
0.955476,21.7176
0.955476,22.2861
0.955476,21.716
0.88914,20.5311
0.88914,19.9339
0.88914,20.2032
0.88914,20.5162
0.88914,20.0412
0.88914,19.7775
0.88914,19.9356
0.88914,20.0069
0.88914,19.55
0.955476,19.8974
0.955476,20.7266
0.955476,21.0609
0.955476,20.865
0.955476,20.3191
0.955476,19.9906
0.955476,20.5791
0.955476,21.3792
0.955476,21.3108
0.955476,21.1368
0.955476,21.4935
0.955476,21.9217
0.955476,21.9527
0.955476,21.5633
0.955476,21.6466
0.955476,21.9541
0.88914,21.412
0.88914,20.4244
0.88914,19.3304
0.88914,19.1199
0.88914,20.0429
0.88914,20.1042
0.88914,19.2206
0.88914,19.3348
0.88914,19.8965
0.88914,20.6647
0.88914,20.7355
0.88914,19.7166
0.88914,19.0189
0.88914,19.4049
0.88914,20.081
0.88914,19.9801
0.955476,19.4903
0.955476,19.447
0.955476,19.7165
0.955476,20.3435
0.955476,20.9371
0.955476,21.5388
0.955476,22.603
0.955476,24.2577
0.955476,25.7701
0.955476,25.6323
0.955476,22.0061
0.955476,19.4379
0.955476,19.9164
0.955476,20.4682
0.955476,21.0009
0.955476,21.1277
0.955476,20.7991
0.955476,20.7728
0.955476,20.8352
0.955476,21.1048
0.955476,21.7093
0.955476,22.1978
0.955476,21.6458
0.955476,20.9707
0.955476,21.7011
0.955476,22.1659
0.955476,21.3567
0.955476,19.8184
0.955476,19.4535
0.955476,19.8429
0.955476,19.5436
0.955476,19.2176
0.955476,19.214
0.955476,19.2251
0.88914,19.2945
0.955476,19.5983
0.955476,19.6298
0.955476,19.5967
0.88914,20.014
0.88914,20.462
0.88914,19.7476
0.955476,19.4565
0.955476,19.5288
0.955476,19.3826
0.955476,19.601
0.88914,20.5947
0.88914,20.8649
0.88914,20.2803
0.88914,19.9029
0.88914,19.7888
0.88914,19.7225
0.88914,19.5044
0.88914,18.8892
0.88914,18.2488
0.88914,18.4016
0.88914,19.1571
0.88914,20.0906
0.88914,20.8908
0.88914,20.5821
0.88914,19.1734
0.88914,18.6381
0.88914,19.2389
0.88914,19.9026
0.88914,19.8301
0.88914,19.5734
0.88914,20.0791
0.88914,19.8343
0.88914,18.0842
0.88914,17.8315
0.88914,19.4117
0.88914,19.2308
0.955476,19.4013
0.955476,19.9387
0.955476,19.9547
0.955476,19.7532
0.955476,20.1917
0.955476,21.08
0.955476,20.9712
0.955476,20.3768
0.955476,20.352
0.955476,20.275
0.88914,19.5864
0.88914,19.0015
0.88914,19.0795
0.955476,19.4985
0.955476,19.7853
0.955476,20.3109
0.955476,20.7018
0.955476,20.7132
0.955476,20.6507
0.955476,20.4939
0.955476,20.4758
0.955476,20.4158
0.955476,20.4146
0.955476,20.2206
0.955476,20.4046
0.955476,21.0293
0.955476,21.8385
0.955476,22.4037
0.955476,21.9196
0.955476,20.9324
0.955476,20.3517
0.955476,20.4002
0.955476,20.6843
0.955476,20.7008
0.88914,20.3046
0.88914,19.8792
0.88914,20.3249
0.88914,20.9969
0.88914,20.7517
0.88914,20.0594
0.88914,19.2978
0.88914,18.4601
0.88914,17.9411
0.88914,17.8579
0.88914,17.4739
0.88914,17.8987
0.88914,18.7492
0.88914,18.7245
0.88914,18.0597
0.88914,18.0101
0.88914,18.4208
0.88914,18.6313
0.88914,18.5395
0.88914,17.8971
0.88914,17.6751
0.88914,17.7987
0.88914,18.0046
0.88914,18.3796
0.88914,18.3884
0.88914,18.242
0.88914,19.1075
0.88914,19.4909
0.88914,18.0693
0.827409,16.0407
0.88914,16.114
0.88914,18.605
0.88914,20.2672
0.88914,20.0974
0.88914,18.9904
0.88914,17.8722
0.88914,17.96
0.88914,18.3356
0.88914,18.4608
0.88914,18.336
0.88914,17.8538
0.88914,17.3045
0.88914,17.5643
0.955476,18.8054
0.955476,19.5163
0.955476,19.786
0.955476,19.3968
0.955476,18.7952
0.955476,18.6512
0.955476,18.5338
0.955476,18.4041
0.955476,18.7061
0.955476,18.6269
0.955476,18.0927
0.88914,18.5702
0.955476,19.3413
0.955476,19.3636
0.955476,19.1787
0.955476,19.4952
0.955476,19.2111
0.955476,18.8319
0.955476,18.6526
0.955476,18.5706
0.955476,18.6709
0.955476,19.2353
0.955476,19.5554
0.955476,19.8845
0.955476,20.8185
0.955476,21.4885
0.955476,20.5046
0.955476,19.0881
0.955476,18.5292
0.955476,19.0762
0.955476,19.6586
0.955476,19.5818
0.955476,19.4366
0.955476,19.3417
0.955476,19.2963
0.955476,19.2885
0.955476,19.4763
0.955476,19.9446
0.955476,20.5814
0.955476,20.9256
0.955476,21.2174
0.955476,21.2625
0.955476,21.3417
0.955476,21.5301
0.955476,21.5737
0.955476,21.563
0.955476,21.4509
0.955476,21.2132
0.955476,21.8414
0.955476,22.2076
0.955476,20.8315
0.955476,20.3479
0.955476,21.1077
0.955476,20.8325
0.88914,20.1483
0.955476,20.0053
0.955476,20.1431
0.955476,19.7669
0.955476,19.6885
0.955476,20.2647
0.955476,20.6754
0.955476,20.5635
0.955476,20.1273
0.88914,19.7047
0.88914,19.2743
0.88914,19.2891
0.88914,19.3969
0.88914,19.4071
0.88914,19.1489
0.88914,18.7896
0.88914,18.9404
0.88914,19.9274
0.88914,20.4301
0.88914,19.4625
0.88914,18.7885
0.88914,18.6707
0.88914,18.6274
0.88914,18.7427
0.88914,18.9721
0.88914,18.453
0.88914,17.833
0.88914,17.7589
0.88914,17.8361
0.88914,18.6405
0.88914,19.0566
0.88914,19.1353
0.88914,19.3581
0.88914,19.5534
0.88914,18.9883
0.955476,18.5219
0.955476,18.5903
